2022-06-07 20:46:50.431 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 20:46:50.822 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 21:10:43.104 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 21:10:53.382 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 21:10:54.224 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 21:17:07.340 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:272] Processing si.feri.praktikum.bintegra.jar
2022-06-07 21:17:12.739 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:49] STOPPED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 21:17:13.044 INFO  [Refresh Thread: Equinox Container: 2c863c79-68ec-4c54-90a0-3d897d1ea2fe][BundleStartStopLogger:46] STARTED si.feri.praktikum.bintegra_1.0.0 [1356]
2022-06-07 21:40:24.926 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for minium-theme was unregistered
2022-06-07 21:40:24.973 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for classic-theme was unregistered
2022-06-07 21:40:24.973 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for admin-theme was unregistered
2022-06-07 21:40:24.988 INFO  [Thread-9][ThemeHotDeployListener:171] 1 theme for speedwell-theme was unregistered
